price,num_of_doors,num_of_seats,year_of_manufacture,brand_enc,model_enc,color_Biały,color_Bordowy,color_Brązowy,color_Błękitny,color_Czarny,color_Czerwony,color_Granatowy,color_Inny kolor,color_Niebieski,color_Srebrny,color_Szary,color_Zielony,color_Złoty
0.6323529411764706,0.9999999999999999,0.6,0.8260869565217348,0.9629629629629629,0.8484848484848485,False,False,False,False,True,False,False,False,False,False,False,False,False
0.7941372549019609,0.6666666666666666,0.6,1.0,0.1111111111111111,0.7373737373737375,False,False,False,False,True,False,False,False,False,False,False,False,False
0.05441176470588235,0.9999999999999999,0.4,0.4347826086956559,0.18518518518518517,0.21212121212121213,False,False,False,False,False,True,False,False,False,False,False,False,False
0.6114411764705883,0.6666666666666666,0.6,1.0,0.1111111111111111,0.7272727272727273,False,False,False,False,True,False,False,False,False,False,False,False,False
0.11274509803921567,0.9999999999999999,0.6,0.5217391304347814,0.7777777777777777,0.05050505050505051,True,False,False,False,False,False,False,False,False,False,False,False,False
0.18137254901960784,0.9999999999999999,0.6,0.4782608695652186,0.8888888888888888,0.5858585858585859,False,False,True,False,False,False,False,False,False,False,False,False,False
0.24019607843137253,0.9999999999999999,0.6,0.6086956521739069,0.9629629629629629,0.8484848484848485,False,False,False,False,False,False,True,False,False,False,False,False,False
0.14705882352941177,0.9999999999999999,0.6,0.5217391304347814,0.37037037037037035,0.9797979797979799,False,False,False,False,False,False,False,False,False,False,True,False,False
0.3627450980392157,0.9999999999999999,1.0,0.6956521739130466,0.14814814814814814,0.6161616161616162,True,False,False,False,False,False,False,False,False,False,False,False,False
0.7058823529411765,0.6666666666666666,0.6,1.0,0.1111111111111111,0.7373737373737375,True,False,False,False,False,False,False,False,False,False,False,False,False
0.8289166666666666,0.9999999999999999,0.6,0.8695652173912976,0.5925925925925926,0.27272727272727276,True,False,False,False,False,False,False,False,False,False,False,False,False
0.06911274509803922,0.9999999999999999,0.6,0.13043478260870245,0.48148148148148145,0.797979797979798,False,False,False,False,True,False,False,False,False,False,False,False,False
0.40490196078431373,0.9999999999999999,0.6,0.8695652173912976,0.07407407407407407,0.9090909090909092,False,False,False,False,False,False,False,False,False,False,True,False,False
0.14215686274509803,0.9999999999999999,0.6,0.3478260869565162,0.07407407407407407,0.8989898989898991,False,False,True,False,False,False,False,False,False,False,False,False,False
0.2553921568627451,0.9999999999999999,0.6,0.4782608695652186,0.037037037037037035,0.6565656565656566,False,False,False,False,True,False,False,False,False,False,False,False,False
